id,device_id,manufacturer,event_type,longitude,latitude,iot_signal_1,iot_signal_3,iot_signal_4,cell_tower_failure
0,0x1000000000005,TelecomWorld,system malfunction,-83.55981,52.054684,3,51,104,1
1,0x100000000001d,TelecomWorld,battery 10%,-83.58502,51.635372,9,52,103,0
2,0x1000000000008,TelecomWorld,battery 10%,-83.36951,51.75648,6,54,103,0
3,0x100000000001b,NewComm,battery 10%,-83.23139,52.205265,2,53,105,0
4,0x1000000000014,TelecomWorld,battery 10%,-83.53081,51.957115,10,55,102,1
5,0x100000000001c,MyCellular,device error,-83.45927,52.285805,3,50,105,0
6,0x1000000000005,TelecomWorld,system malfunction,-83.17063,51.634403,2,50,102,1
7,0x100000000000b,TelecomWorld,device error,-83.33929,51.688053,5,54,102,0
8,0x1000000000024,NewComm,battery 10%,-83.32541,51.70663,6,53,107,0
9,0x1000000000009,NewComm,battery 10%,-83.548454,52.071274,7,53,104,0
10,0x1000000000025,MyCellular,device error,-83.589195,51.70888,5,55,106,0
11,0x1000000000001,MyCellular,battery 10%,-83.47614,51.637436,3,51,103,0
12,0x1000000000020,TelecomWorld,system malfunction,-83.494156,51.786575,8,53,106,0
13,0x1000000000017,TelecomWorld,battery 5%,-83.45183,52.245552,4,52,105,0
14,0x1000000000022,MyCellular,battery 10%,-83.31021,52.104088,9,54,104,0
15,0x1000000000004,MyCellular,battery 10%,-83.62873,51.640728,8,51,101,0
16,0x100000000001e,NewComm,device error,-83.61834,51.60085,3,54,107,0
17,0x1000000000012,NewComm,battery 10%,-83.56675,51.713734,5,53,101,0
18,0x100000000001e,NewComm,battery 5%,-83.4502,51.83412,10,53,101,0
19,0x1000000000004,MyCellular,device error,-83.61743,51.66233,5,55,106,0
20,0x100000000000f,NewComm,battery 5%,-83.6061,52.065037,2,54,103,0
21,0x1000000000027,NewComm,battery 5%,-83.03114,52.060017,1,54,102,0
22,0x1000000000009,NewComm,battery 10%,-83.53778,51.67961,3,53,103,0
23,0x100000000000c,NewComm,battery 10%,-83.42616,51.71988,1,51,105,0
24,0x1000000000026,TelecomWorld,device error,-83.20244,51.59616,6,55,103,0
25,0x1000000000024,NewComm,device error,-83.15975,51.66748,1,54,105,0
26,0x1000000000000,NewComm,device error,-83.434875,51.97866,4,51,102,0
27,0x100000000000a,MyCellular,device error,-83.4328,52.069176,7,50,101,0
28,0x1000000000018,NewComm,battery 10%,-83.56058,51.67622,5,55,103,1
29,0x1000000000000,NewComm,battery 5%,-83.42304,51.631046,9,52,103,0
30,0x1000000000008,TelecomWorld,battery 10%,-83.469025,51.906784,2,53,106,0
31,0x100000000001c,MyCellular,system malfunction,-83.58453,52.097294,1,51,106,0
32,0x1000000000019,MyCellular,system malfunction,-83.61205,51.634445,1,51,107,0
33,0x1000000000018,NewComm,device error,-83.61544,51.687943,7,51,107,0
34,0x100000000000c,NewComm,battery 10%,-83.492584,51.599873,4,54,103,0
35,0x1000000000002,TelecomWorld,system malfunction,-82.81893,51.608227,2,54,102,0
36,0x1000000000019,MyCellular,system malfunction,-83.08052,51.66513,1,52,106,0
37,0x100000000001d,TelecomWorld,battery 10%,-83.61331,51.953156,3,53,105,0
38,0x1000000000006,NewComm,battery 5%,-83.07415,52.376698,7,52,104,1
39,0x100000000001f,MyCellular,battery 10%,-83.26835,51.973896,7,51,102,0
40,0x1000000000019,MyCellular,battery 10%,-83.466194,52.061424,6,54,107,0
41,0x1000000000017,TelecomWorld,device error,-83.51238,51.629745,4,52,100,0
42,0x1000000000008,TelecomWorld,battery 5%,-83.59437,51.62248,4,54,105,0
43,0x1000000000019,MyCellular,battery 5%,-83.20501,52.18481,7,54,104,0
44,0x100000000000e,TelecomWorld,battery 5%,-83.30375,51.882473,1,50,106,0
45,0x1000000000023,TelecomWorld,battery 5%,-83.53902,51.71916,8,54,103,0
46,0x100000000000e,TelecomWorld,device error,-83.52109,51.86545,4,50,100,0
47,0x1000000000023,TelecomWorld,battery 10%,-83.56814,51.61255,10,54,107,0
48,0x1000000000008,TelecomWorld,device error,-83.26642,52.03631,1,52,102,0
49,0x1000000000001,MyCellular,device error,-83.12282,52.340275,4,53,105,0
50,0x1000000000012,NewComm,battery 5%,-83.607956,51.915733,9,52,101,0
51,0x100000000000b,TelecomWorld,system malfunction,-83.58297,51.95213,5,52,101,0
52,0x100000000000f,NewComm,device error,-83.50161,52.151615,2,51,105,0
53,0x1000000000023,TelecomWorld,device error,-83.46353,51.666607,1,50,101,0
54,0x1000000000004,MyCellular,device error,-83.34588,52.17575,9,54,104,0
55,0x1000000000022,MyCellular,battery 5%,-83.20021,51.604748,8,52,107,0
56,0x100000000000b,TelecomWorld,system malfunction,-83.38243,51.769012,2,55,104,0
57,0x1000000000016,MyCellular,battery 5%,-83.62231,51.807007,10,51,106,0
58,0x1000000000007,MyCellular,device error,-83.39759,52.186108,7,51,105,0
59,0x1000000000001,MyCellular,system malfunction,-83.204124,51.719166,6,51,104,0
60,0x1000000000016,MyCellular,device error,-83.61429,52.029236,5,53,102,0
61,0x1000000000014,TelecomWorld,battery 10%,-83.08921,51.733467,3,51,104,0
62,0x1000000000024,NewComm,battery 5%,-83.62484,51.70779,3,53,106,0
63,0x100000000000a,MyCellular,device error,-83.42562,52.068203,5,50,105,0
64,0x100000000001e,NewComm,battery 10%,-83.242065,51.96859,3,52,105,0
65,0x1000000000001,MyCellular,battery 5%,-83.30186,51.734097,10,52,102,0
66,0x1000000000009,NewComm,battery 5%,-83.16275,51.745293,10,55,100,0
67,0x1000000000008,TelecomWorld,device error,-83.31627,51.95081,4,52,105,0
68,0x1000000000005,TelecomWorld,system malfunction,-83.46883,51.605682,4,50,105,1
69,0x1000000000021,NewComm,device error,-83.60678,51.662174,7,54,102,0
70,0x100000000000f,NewComm,device error,-83.46114,51.59787,7,52,101,0
71,0x1000000000003,NewComm,device error,-83.62201,51.69999,9,52,105,1
72,0x1000000000006,NewComm,battery 5%,-83.593925,52.2012,3,55,107,0
73,0x1000000000008,TelecomWorld,system malfunction,-82.97231,51.773468,4,55,101,0
74,0x1000000000023,TelecomWorld,battery 5%,-83.618225,51.702065,8,53,102,0
75,0x1000000000019,MyCellular,system malfunction,-83.60506,51.740864,2,50,102,0
76,0x1000000000011,TelecomWorld,battery 5%,-83.55472,51.870377,3,50,107,0
77,0x100000000000b,TelecomWorld,device error,-83.48655,51.74357,3,53,107,0
78,0x100000000001b,NewComm,device error,-83.56034,51.62237,2,51,103,0
79,0x1000000000012,NewComm,device error,-82.92791,51.908672,6,51,107,0
80,0x1000000000005,TelecomWorld,device error,-83.60509,51.69082,10,55,101,0
81,0x1000000000004,MyCellular,battery 5%,-83.558266,51.99678,5,52,105,0
82,0x1000000000006,NewComm,system malfunction,-83.60125,52.180878,2,50,105,1
83,0x100000000001e,NewComm,system malfunction,-83.58682,52.39663,3,51,104,0
84,0x100000000001a,TelecomWorld,battery 10%,-83.616104,51.631638,1,51,100,0
85,0x1000000000003,NewComm,battery 5%,-82.87265,51.627266,4,50,106,0
86,0x1000000000013,MyCellular,system malfunction,-83.15996,52.113903,8,52,107,0
87,0x1000000000006,NewComm,battery 10%,-83.09999,51.595963,8,53,105,0
88,0x1000000000018,NewComm,system malfunction,-83.62874,51.91488,8,51,105,0
89,0x1000000000026,TelecomWorld,battery 5%,-83.54723,51.626648,8,54,103,0
90,0x1000000000009,NewComm,battery 5%,-83.57587,51.741535,2,51,104,0
91,0x1000000000020,TelecomWorld,device error,-83.54617,52.05016,8,53,104,0
92,0x1000000000014,TelecomWorld,battery 5%,-83.43298,52.185795,2,52,105,1
93,0x1000000000018,NewComm,device error,-82.89593,51.72561,2,52,105,0
94,0x1000000000012,NewComm,system malfunction,-83.4812,51.91843,8,55,106,0
95,0x1000000000001,MyCellular,device error,-83.53411,52.14474,6,53,102,0
96,0x100000000001f,MyCellular,system malfunction,-83.39877,52.295383,3,53,101,0
97,0x1000000000007,MyCellular,system malfunction,-83.21397,51.609085,3,53,101,0
98,0x100000000001f,MyCellular,battery 5%,-82.93999,51.597656,1,52,102,0
99,0x1000000000011,TelecomWorld,system malfunction,-83.08147,52.08904,8,52,106,1
100,0x100000000000a,MyCellular,battery 5%,-83.5981,51.60815,8,51,102,0
101,0x100000000001d,TelecomWorld,system malfunction,-83.586784,51.87562,6,55,104,0
102,0x1000000000011,TelecomWorld,system malfunction,-83.4633,51.63292,4,52,101,0
103,0x1000000000013,MyCellular,battery 10%,-83.61917,52.102024,2,52,101,0
104,0x1000000000022,MyCellular,battery 5%,-82.99535,52.176804,8,55,100,1
105,0x100000000000b,TelecomWorld,device error,-83.09365,51.91591,4,51,103,0
106,0x1000000000003,NewComm,device error,-83.22285,51.600563,5,55,105,0
107,0x1000000000008,TelecomWorld,device error,-83.20582,51.6914,9,53,106,0
108,0x100000000000d,MyCellular,battery 10%,-82.766785,51.99262,10,54,102,0
109,0x1000000000013,MyCellular,battery 5%,-83.22364,51.887012,4,54,105,0
110,0x1000000000015,NewComm,battery 5%,-83.26049,52.071636,8,55,105,0
111,0x1000000000003,NewComm,battery 5%,-83.62144,51.757057,9,52,105,0
112,0x1000000000007,MyCellular,battery 5%,-83.495186,51.72544,8,54,101,0
113,0x1000000000007,MyCellular,device error,-82.91354,51.59724,6,54,101,0
114,0x100000000001b,NewComm,device error,-83.430405,51.812805,7,53,103,0
115,0x100000000001e,NewComm,battery 5%,-83.55201,51.605457,2,50,100,1
116,0x1000000000023,TelecomWorld,device error,-83.42843,51.896667,2,51,104,0
117,0x100000000000c,NewComm,device error,-83.02958,51.675083,3,53,106,0
118,0x1000000000016,MyCellular,device error,-83.39277,51.723255,4,52,101,0
119,0x100000000001d,TelecomWorld,device error,-83.522964,51.85092,8,54,107,0
120,0x1000000000025,MyCellular,system malfunction,-83.55452,52.174442,10,50,101,0
121,0x100000000000d,MyCellular,device error,-83.58493,52.01356,10,54,106,0
122,0x1000000000001,MyCellular,battery 10%,-83.01654,51.697414,10,53,101,0
123,0x100000000000f,NewComm,device error,-83.62059,51.747234,5,50,104,1
124,0x1000000000027,NewComm,battery 5%,-83.61611,51.990475,8,51,104,1
125,0x100000000001e,NewComm,battery 10%,-83.46004,51.60297,8,50,105,0
126,0x100000000000f,NewComm,battery 5%,-83.4248,51.771076,10,50,103,0
127,0x100000000000f,NewComm,device error,-83.52819,52.128586,5,52,106,0
128,0x1000000000002,TelecomWorld,system malfunction,-83.62503,52.316536,4,51,106,0
129,0x1000000000001,MyCellular,system malfunction,-83.053604,51.61162,2,50,104,0
130,0x100000000000a,MyCellular,system malfunction,-83.440735,51.950554,2,53,104,0
131,0x100000000000b,TelecomWorld,battery 10%,-83.481705,51.79649,2,54,102,0
132,0x100000000000e,TelecomWorld,system malfunction,-83.601524,51.780342,4,51,106,0
133,0x1000000000007,MyCellular,battery 5%,-83.51572,51.74012,6,52,104,0
134,0x100000000000f,NewComm,battery 5%,-83.559074,51.65498,7,52,104,0
135,0x1000000000027,NewComm,system malfunction,-83.39931,51.973198,9,53,105,0
136,0x1000000000016,MyCellular,device error,-83.488205,51.684395,9,53,101,0
137,0x1000000000026,TelecomWorld,device error,-83.447914,51.59826,10,54,106,0
138,0x1000000000019,MyCellular,system malfunction,-83.49058,51.63358,9,51,103,1
139,0x1000000000015,NewComm,battery 5%,-83.4501,51.95572,3,52,102,0
140,0x100000000001e,NewComm,system malfunction,-83.58114,52.362423,7,52,107,0
141,0x1000000000021,NewComm,device error,-83.62595,51.778576,10,51,101,0
142,0x1000000000009,NewComm,device error,-83.52997,52.150486,7,51,103,0
143,0x1000000000003,NewComm,system malfunction,-83.18624,52.06143,9,53,102,0
144,0x1000000000017,TelecomWorld,battery 5%,-83.00977,51.605904,2,52,103,0
145,0x1000000000023,TelecomWorld,battery 5%,-83.387276,52.294594,4,54,107,0
146,0x100000000000f,NewComm,device error,-83.20461,52.034348,2,52,104,0
147,0x100000000001b,NewComm,battery 5%,-83.50871,51.63418,9,53,101,0
148,0x1000000000023,TelecomWorld,system malfunction,-83.38948,51.83045,2,55,100,1
149,0x1000000000012,NewComm,battery 5%,-83.01229,51.810455,6,52,103,0
150,0x100000000000e,TelecomWorld,device error,-83.52745,51.599094,7,51,106,0
151,0x1000000000008,TelecomWorld,battery 5%,-83.619064,52.327576,8,54,100,1
152,0x1000000000020,TelecomWorld,battery 5%,-83.37317,52.116444,3,51,104,0
153,0x100000000001e,NewComm,device error,-83.08557,51.59774,6,52,106,0
154,0x1000000000009,NewComm,battery 5%,-83.439674,51.66973,1,54,103,0
155,0x1000000000007,MyCellular,battery 5%,-83.57971,51.77842,1,55,102,0
156,0x1000000000018,NewComm,device error,-83.22162,51.734055,3,50,104,1
157,0x1000000000026,TelecomWorld,battery 5%,-83.398094,51.708103,2,53,107,0
158,0x100000000000a,MyCellular,device error,-83.50991,51.922718,7,53,104,0
159,0x1000000000009,NewComm,battery 10%,-83.52991,51.64233,5,51,103,0
160,0x100000000001a,TelecomWorld,device error,-83.27133,51.649784,1,53,101,0
161,0x1000000000004,MyCellular,device error,-83.46602,51.70656,7,50,105,0
162,0x100000000000b,TelecomWorld,system malfunction,-83.3118,51.92794,5,54,102,1
163,0x1000000000014,TelecomWorld,battery 5%,-83.22663,51.70339,9,54,105,0
164,0x100000000000d,MyCellular,system malfunction,-82.78848,51.926994,3,54,105,0
165,0x1000000000004,MyCellular,battery 5%,-83.60514,51.644375,3,51,105,0
166,0x1000000000004,MyCellular,system malfunction,-83.62103,51.849373,8,53,103,0
167,0x1000000000007,MyCellular,device error,-83.38892,51.86378,8,50,102,0
168,0x1000000000009,NewComm,system malfunction,-83.54216,51.88248,3,53,102,0
169,0x1000000000024,NewComm,system malfunction,-83.38723,51.832016,8,50,107,0
170,0x1000000000012,NewComm,device error,-82.97977,51.632164,7,55,104,0
171,0x1000000000000,NewComm,battery 10%,-83.44479,52.053535,5,55,105,1
172,0x100000000001a,TelecomWorld,device error,-83.60281,52.369648,7,52,104,0
173,0x1000000000026,TelecomWorld,battery 5%,-83.09175,51.600246,2,54,100,0
174,0x1000000000011,TelecomWorld,device error,-83.08912,51.91239,2,50,104,1
175,0x1000000000011,TelecomWorld,battery 10%,-83.44974,51.700832,7,50,105,0
176,0x100000000000e,TelecomWorld,battery 5%,-83.58607,52.0182,2,51,101,0
177,0x1000000000005,TelecomWorld,device error,-83.524315,51.76486,2,54,101,0
178,0x100000000000c,NewComm,system malfunction,-83.60308,51.61116,1,54,103,1
179,0x1000000000007,MyCellular,system malfunction,-83.62504,52.06239,5,52,102,0
180,0x1000000000005,TelecomWorld,battery 5%,-83.57082,52.0306,8,52,104,0
181,0x1000000000027,NewComm,battery 5%,-83.531334,51.982536,3,54,104,0
182,0x1000000000024,NewComm,battery 5%,-82.8382,51.925694,8,51,101,0
183,0x100000000001c,MyCellular,system malfunction,-83.11382,51.878452,10,51,103,0
184,0x100000000000c,NewComm,system malfunction,-82.86361,51.63155,8,53,102,0
185,0x1000000000021,NewComm,battery 5%,-83.6118,52.434196,5,53,103,1
186,0x1000000000026,TelecomWorld,device error,-83.0515,51.802002,8,53,102,0
187,0x100000000001f,MyCellular,device error,-83.37388,51.62641,2,53,102,0
188,0x100000000000e,TelecomWorld,battery 10%,-83.50672,51.61999,6,51,102,0
189,0x1000000000016,MyCellular,battery 10%,-83.38697,51.728077,8,51,104,0
190,0x1000000000015,NewComm,device error,-83.40185,51.618465,9,53,101,0
191,0x1000000000001,MyCellular,battery 5%,-83.558556,51.629128,9,55,101,0
192,0x1000000000017,TelecomWorld,device error,-83.59869,51.719944,5,54,104,0
193,0x1000000000004,MyCellular,battery 10%,-83.160255,51.80945,10,51,103,0
194,0x1000000000026,TelecomWorld,battery 5%,-83.61019,52.006863,1,54,105,0
195,0x1000000000005,TelecomWorld,system malfunction,-83.37713,51.967594,3,52,102,0
196,0x100000000000a,MyCellular,device error,-83.319496,52.158096,9,54,102,0
197,0x1000000000002,TelecomWorld,device error,-82.93236,51.618702,5,50,104,0
198,0x1000000000009,NewComm,battery 5%,-83.616325,51.806416,4,51,105,0
199,0x1000000000007,MyCellular,device error,-83.62419,51.663094,6,52,101,0
200,0x1000000000020,TelecomWorld,battery 5%,-83.5473,51.675728,8,51,107,0
201,0x1000000000020,TelecomWorld,device error,-83.55883,51.70404,5,51,104,0
202,0x100000000000f,NewComm,battery 10%,-83.2084,51.98447,9,51,105,0
203,0x1000000000022,MyCellular,battery 10%,-82.99786,51.750854,4,52,101,0
204,0x1000000000019,MyCellular,device error,-83.487625,51.59646,9,52,107,0
205,0x1000000000011,TelecomWorld,battery 10%,-83.50973,51.629414,6,52,102,1
