:ID,primarySubstabce,name,:LABEL
7160,EVEROLIMUS,AFINITOR,Drug
7161,SORAFENIB,SORAFENIB,Drug
7162,CLONAZEPAM,CLONAZEPAM,Drug
7163,DEXAMETHASONE,DEXAMETHASONE,Drug
7164,LEVETIRACETAM,KEPPRA,Drug
7165,LISINOPRIL,LISINOPRIL,Drug
7166,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,Drug
7167,ONDANSETRON,ONDANSETRON,Drug
7168,LACOSAMIDE,VIMPAT,Drug
7169,SENNOSIDES,SENOKOT,Drug
7170,BELIMUMAB,Belimumab,Drug
7171,PREDNISONE,PREDNISONE,Drug
7172,FILGRASTIM,NEUPOGEN,Drug
7173,VANCOMYCIN,VANCOMYCIN,Drug
7174,METRONIDAZOLE\METRONIDAZOLE HYDROCHLORIDE,FLAGYL,Drug
7175,VORICONAZOLE,VORICONAZOLE,Drug
7176,LENALIDOMIDE,REVLIMID,Drug
7177,DEXAMETHASONE,DECADRON,Drug
7178,PREGABALIN,LYRICA,Drug
7179,AGALSIDASE BETA,FABRAZYME,Drug
7180,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE,Drug
7181,METOPROLOL,METOPROLOL,Drug
7182,RANITIDINE,RANITIDINE,Drug
7183,CARVEDILOL,CARVEDILOL,Drug
7184,CLONIDINE,CLONIDINE,Drug
7185,ASPIRIN,BABY ASPIRIN,Drug
7186,VELAGLUCERASE ALFA,Velaglucerase alfa,Drug
7187,VISMODEGIB,ERIVEDGE,Drug
7188,BORTEZOMIB,BORTEZOMIB,Drug
7189,CARFILZOMIB,Carfilzomib,Drug
7190,BORTEZOMIB,VELCADE,Drug
7191,SODIUM OXYBATE,XYREM,Drug
7192,ROPINIROLE HYDROCHLORIDE,ROPINIROLE,Drug
7193,MODAFINIL,MODAFINIL,Drug
7194,DULOXETINE,DULOXETINE,Drug
7195,ASPIRIN,ASPIRIN,Drug
7196,CLOPIDOGREL BISULFATE,PLAVIX,Drug
7197,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,Drug
7198,ZOLEDRONIC ACID,ZOLEDRONIC ACID,Drug
7199,DEXAMETHASONE,DEXAMETHASONE ORAL,Drug
7200,ALLOPURINOL,ALLOPURINOL,Drug
7201,METFORMIN HYDROCHLORIDE,METFORMIN,Drug
7202,HYDROCODONE,Hydrocodone,Drug
7203,OMEPRAZOLE MAGNESIUM,PRILOSEC,Drug
7204,TRAZODONE HYDROCHLORIDE,TRAZODONE,Drug
7205,DULOXETINE HYDROCHLORIDE,CYMBALTA,Drug
7206,THALIDOMIDE,THALOMID,Drug
7207,ACYCLOVIR,ACYCLOVIR,Drug
7208,CETIRIZINE HYDROCHLORIDE,Cetrizine,Drug
7209,LORAZEPAM,LORAZEPAM,Drug
7210,POTASSIUM CHLORIDE,KLORCON,Drug
7211,CHOLESTYRAMINE,CHOLESTYRAMINE,Drug
7212,CETIRIZINE HYDROCHLORIDE,CETIRIZINE,Drug
7213,AMLODIPINE BESYLATE,AMLODIPINE,Drug
7214,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,Drug
7215,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,Drug
7216,CIPROFLOXACIN HYDROCHLORIDE,CIPRO,Drug
7217,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL,Drug
7218,MIRABEGRON,MYRBETRIQ,Drug
7219,PROMETHAZINE HYDROCHLORIDE,PHENERGAN,Drug
7220,CLOPIDOGREL BISULFATE,CLOPIDOGREL,Drug
7221,,VITAMIN CECHINACEA,Drug
7222,ELOTUZUMAB,ELOTUZUMAB,Drug
7223,DIPHENHYDRAMINE HYDROCHLORIDE,BENADRYL,Drug
7224,USTEKINUMAB,USTEKINUMAB,Drug
7225, AMPHET ASPARTATE,DEXTROAMPHET SACCHARAT,Drug
7226,KETOTIFEN FUMARATE,ZADITOR,Drug
7227,LORATADINE,LORATADINE,Drug
7228,TAMSULOSIN HYDROCHLORIDE,FLOMAX,Drug
7229,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,Drug
7230,OMEPRAZOLE,OMEPRAZOLE,Drug
7231,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,Drug
7232,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,Drug
7233,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,MIRCERA,Drug
7234,FINGOLIMOD HYDROCHLORIDE,GILENYA,Drug
7235,"ESTROGENS, CONJUGATED",PREMARIN,Drug
7236,CLIDINIUM,CLIDINIUM,Drug
7237,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,Drug
7238,BACLOFEN,BACLOFEN,Drug
7239,BUMETANIDE,BUMETANIDE,Drug
7240,CALCITRIOL,CALCITRIOL,Drug
7241,TADALAFIL,CIALIS,Drug
7242,DOCUSATE SODIUM,DOCUSATE SODIUM,Drug
7243,BRENTUXIMAB VEDOTIN,brentuximab vedotin,Drug
7244,DOXORUBICIN,DOXORUBICIN,Drug
7245,VINCRISTINE,Vincristine,Drug
7246,ETOPOSIDE,ETOPOSIDE,Drug
7247,GABAPENTIN,NEURONTIN,Drug
7248,DALFAMPRIDINE,AMPYRA,Drug
7249,DIMETHYL FUMARATE,TECFIDERA,Drug
7250,MELPHALAN,MELPHALAN,Drug
7251,CARFILZOMIB,KYPROLIS,Drug
7252,POMALIDOMIDE,Pomalidomide,Drug
7253,DARATUMUMAB,Daratumumab,Drug
7254,TEDUGLUTIDE,Teduglutide,Drug
7255,VEDOLIZUMAB,ENTYVIO,Drug
7256,,Sodium chloride;Water,Drug
7257,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE,Drug
7258,ALCOHOL,ETHYL ALCOHOL,Drug
7259,MONOETHANOLAMINE,Ethanolamine,Drug
7260,ERGOCALCIFEROL,VITAMIN D2,Drug
7261,MODAFINIL,PROVIGIL,Drug
7262,GABAPENTIN,GABAPENTIN,Drug
7263,MONTELUKAST SODIUM,SINGULAIR,Drug
7264,ZOLPIDEM TARTRATE,AMBIEN,Drug
7265,FENTANYL,DURAGESIC,Drug
7266,HEPARIN SODIUM,HEPARIN,Drug
7267,FUROSEMIDE,LASIX,Drug
7268,ATORVASTATIN CALCIUM,LIPITOR,Drug
7269,MAGNESIUM OXIDE,MAGNESIUM OXIDE,Drug
7270,ONDANSETRON HYDROCHLORIDE,ZOFRAN,Drug
7271,PANTOPRAZOLE SODIUM,PROTONIX,Drug
7272,DOCUSATE SODIUM\SENNOSIDES,SENNA S,Drug
7273,VITAMIN D NOS,VITAMIN D,Drug
7274,ASCORBIC ACID,VITAMIN C,Drug
7275,ZINC SULFATE,ZINC SULFATE,Drug
7276,POLYETHYLENE GLYCOL 3350,MIRALAX,Drug
7277,NIFEDIPINE,PROCARDIA,Drug
7278,ADALIMUMAB,HUMIRA,Drug
7279,PREDNISOLONE,PREDNISOLONE,Drug
7280,PALBOCICLIB,IBRANCE,Drug
7281,SIMVASTATIN,SIMVASTATIN,Drug
7282,CRANBERRY,CRANBERRY,Drug
7283,POMALIDOMIDE,POMALYST,Drug
7284,MORPHINE SULFATE,MORPHINE SULFATE,Drug
7285,NIFEDIPINE,PROCARDIA XL,Drug
7286,PANTOPRAZOLE,Pantoprazole,Drug
7287,PROCHLORPERAZINE,PROCHLORPERAZINE,Drug
7288,METRELEPTIN,Metreleptin,Drug
7289,OMEGA-3 FATTY ACIDS,Omega 3 fatty acid,Drug
7290,CALCIUM CARBONATE,TUMS,Drug
7291,VISMODEGIB,VISMODEGIB,Drug
7292,NIFEDIPINE,NIFEDIPINE,Drug
7293,ALBUTEROL,ALBUTEROL,Drug
7294,CINACALCET,CINACALCET,Drug
7295,LABETALOL\LABETALOL HYDROCHLORIDE,LABETALOL,Drug
7296,MINOXIDIL,MINOXIDIL,Drug
7297,DILTIAZEM HYDROCHLORIDE,CARDIZEM,Drug
7298,ACETAMINOPHEN,TYLENOL,Drug
7299,CLONIDINE HYDROCHLORIDE,CATAPRES,Drug
7300,HYDROMORPHONE HYDROCHLORIDE,DILAUDID,Drug
7301,SEVELAMER HYDROCHLORIDE,RENAGEL,Drug
7302,PANOBINOSTAT,Panobinostat,Drug
7303,ENALAPRIL,ENALAPRIL,Drug
7304,ZOLEDRONIC ACID,ZOMETA,Drug
7305,SIROLIMUS,RAPAMUNE,Drug
7306,FLUOXETINE HYDROCHLORIDE,FLUOXETINE,Drug
7307,DOXERCALCIFEROL,HECTOROL,Drug
7308,,VENOFER (UNITED STATES),Drug
7309,HEPATITIS B VIRUS SUBTYPE ADW2 HBSAG SURFACE PROTEIN ANTIGEN,ENGERIX B,Drug
7310,,CALCITROL,Drug
7311,LEVOCARNITINE,CARNITOR,Drug
7312,ACYCLOVIR,ZOVIRAX,Drug
7313,DAPSONE,DAPSONE,Drug
7314,TERIFLUNOMIDE,TERIFLUNOMIDE,Drug
7315,CELECOXIB,CELEBREX,Drug
7316,PIOGLITAZONE HYDROCHLORIDE,ACTOS,Drug
7317,FENOFIBRATE,FENOFIBRATE,Drug
7318,AMOXICILLIN,AMOXICILLIN,Drug
7319,INSULIN GLARGINE,LANTUS,Drug
7320,ERGOCALCIFEROL,ERGOCALCIFEROL,Drug
7321,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,Drug
7322,HYDROXYCHLOROQUINE SULFATE,PLAQUENIL,Drug
7323,EXENATIDE,EXENATIDE,Drug
7324,ATORVASTATIN,Atorvastatin,Drug
7325,ESOMEPRAZOLE MAGNESIUM,NEXIUM,Drug
7326,FISH OIL,Fish oil,Drug
7327,CETIRIZINE HYDROCHLORIDE,ZYRTEC,Drug
7328,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,Drug
7329,CITALOPRAM HYDROBROMIDE,CITALOPRAM,Drug
7330,ENALAPRIL,Enalapril,Drug
7331,ESTRADIOL ACETATE,FEMRING,Drug
7332,METHOTREXATE,METHOTREXATE,Drug
7333,CYTARABINE,CYTARABINE,Drug
7334,HUMAN IMMUNOGLOBULIN G,GAMUNEX C,Drug
7335,APIXABAN,ELIQUIS,Drug
7336,BUPROPION HYDROCHLORIDE,WELLBUTRIN,Drug
7337,ERGOCALCIFEROL,VITAMIN D                          /00107901/,Drug
