:START_ID,:END_ID,:TYPE
0,4454,HAS_REACTION
1,4455,HAS_REACTION
2,4456,HAS_REACTION
3,4457,HAS_REACTION
3,4458,HAS_REACTION
3,4459,HAS_REACTION
4,4460,HAS_REACTION
4,4461,HAS_REACTION
4,4462,HAS_REACTION
4,4463,HAS_REACTION
4,4464,HAS_REACTION
4,4465,HAS_REACTION
4,4466,HAS_REACTION
4,4467,HAS_REACTION
4,4468,HAS_REACTION
5,4469,HAS_REACTION
5,4470,HAS_REACTION
5,4471,HAS_REACTION
5,4472,HAS_REACTION
6,4473,HAS_REACTION
6,4457,HAS_REACTION
6,4474,HAS_REACTION
6,4475,HAS_REACTION
6,4476,HAS_REACTION
6,4477,HAS_REACTION
7,4478,HAS_REACTION
7,4479,HAS_REACTION
7,4480,HAS_REACTION
7,4481,HAS_REACTION
7,4482,HAS_REACTION
7,4483,HAS_REACTION
7,4484,HAS_REACTION
7,4485,HAS_REACTION
7,4486,HAS_REACTION
8,4487,HAS_REACTION
9,4488,HAS_REACTION
10,4489,HAS_REACTION
11,4490,HAS_REACTION
12,4488,HAS_REACTION
12,4491,HAS_REACTION
13,4492,HAS_REACTION
13,4493,HAS_REACTION
14,4494,HAS_REACTION
14,4495,HAS_REACTION
15,4496,HAS_REACTION
16,4497,HAS_REACTION
17,4498,HAS_REACTION
17,4499,HAS_REACTION
17,4500,HAS_REACTION
17,4501,HAS_REACTION
17,4502,HAS_REACTION
17,4503,HAS_REACTION
17,4504,HAS_REACTION
17,4456,HAS_REACTION
17,4505,HAS_REACTION
18,4495,HAS_REACTION
19,4506,HAS_REACTION
20,4479,HAS_REACTION
21,4507,HAS_REACTION
21,4508,HAS_REACTION
22,4495,HAS_REACTION
23,4509,HAS_REACTION
23,4488,HAS_REACTION
23,4510,HAS_REACTION
23,4511,HAS_REACTION
23,4512,HAS_REACTION
24,4513,HAS_REACTION
25,4514,HAS_REACTION
25,4515,HAS_REACTION
25,4516,HAS_REACTION
25,4517,HAS_REACTION
26,4518,HAS_REACTION
27,4495,HAS_REACTION
28,4495,HAS_REACTION
29,4495,HAS_REACTION
30,4519,HAS_REACTION
30,4520,HAS_REACTION
30,4521,HAS_REACTION
31,4518,HAS_REACTION
32,4522,HAS_REACTION
33,4523,HAS_REACTION
33,4462,HAS_REACTION
33,4524,HAS_REACTION
33,4512,HAS_REACTION
34,4525,HAS_REACTION
34,4526,HAS_REACTION
34,4527,HAS_REACTION
34,4528,HAS_REACTION
35,4488,HAS_REACTION
36,4529,HAS_REACTION
37,4530,HAS_REACTION
38,4531,HAS_REACTION
38,4532,HAS_REACTION
38,4533,HAS_REACTION
38,4504,HAS_REACTION
38,4467,HAS_REACTION
38,4534,HAS_REACTION
38,4535,HAS_REACTION
38,4536,HAS_REACTION
39,4537,HAS_REACTION
39,4508,HAS_REACTION
40,4531,HAS_REACTION
40,4538,HAS_REACTION
40,4539,HAS_REACTION
40,4540,HAS_REACTION
40,4471,HAS_REACTION
40,4541,HAS_REACTION
40,4472,HAS_REACTION
41,4500,HAS_REACTION
41,4462,HAS_REACTION
41,4483,HAS_REACTION
41,4542,HAS_REACTION
41,4463,HAS_REACTION
41,4543,HAS_REACTION
41,4544,HAS_REACTION
41,4545,HAS_REACTION
41,4546,HAS_REACTION
42,4547,HAS_REACTION
42,4500,HAS_REACTION
42,4483,HAS_REACTION
42,4504,HAS_REACTION
42,4548,HAS_REACTION
42,4549,HAS_REACTION
43,4465,HAS_REACTION
44,4550,HAS_REACTION
45,4551,HAS_REACTION
46,4481,HAS_REACTION
46,4552,HAS_REACTION
46,4482,HAS_REACTION
46,4553,HAS_REACTION
46,4554,HAS_REACTION
46,4467,HAS_REACTION
46,4555,HAS_REACTION
46,4556,HAS_REACTION
47,4557,HAS_REACTION
48,4558,HAS_REACTION
48,4482,HAS_REACTION
48,4559,HAS_REACTION
48,4560,HAS_REACTION
