:START_ID,:END_ID,:TYPE
1,9660,RECEIVED
2,9661,RECEIVED
4,9662,RECEIVED
7,9663,RECEIVED
8,9664,RECEIVED
9,9665,RECEIVED
10,9666,RECEIVED
12,9667,RECEIVED
14,9668,RECEIVED
16,9669,RECEIVED
17,9670,RECEIVED
18,9671,RECEIVED
19,9672,RECEIVED
21,9673,RECEIVED
22,9674,RECEIVED
23,9675,RECEIVED
24,9676,RECEIVED
25,9677,RECEIVED
27,9678,RECEIVED
28,9679,RECEIVED
30,9680,RECEIVED
31,9681,RECEIVED
32,9682,RECEIVED
33,9683,RECEIVED
35,9684,RECEIVED
38,9685,RECEIVED
41,9686,RECEIVED
42,9687,RECEIVED
43,9688,RECEIVED
44,9689,RECEIVED
45,9690,RECEIVED
51,9691,RECEIVED
52,9692,RECEIVED
54,9693,RECEIVED
57,9694,RECEIVED
61,9695,RECEIVED
63,9696,RECEIVED
66,9697,RECEIVED
68,9698,RECEIVED
69,9699,RECEIVED
78,9700,RECEIVED
79,9701,RECEIVED
84,9702,RECEIVED
86,9703,RECEIVED
87,9704,RECEIVED
88,9705,RECEIVED
89,9706,RECEIVED
90,9707,RECEIVED
91,9708,RECEIVED
103,9709,RECEIVED
109,9710,RECEIVED
110,9711,RECEIVED
111,9712,RECEIVED
113,9713,RECEIVED
115,9714,RECEIVED
116,9715,RECEIVED
118,9716,RECEIVED
122,9717,RECEIVED
123,9718,RECEIVED
124,9719,RECEIVED
125,9720,RECEIVED
126,9721,RECEIVED
127,9722,RECEIVED
145,9723,RECEIVED
146,9724,RECEIVED
149,9725,RECEIVED
152,9726,RECEIVED
156,9727,RECEIVED
157,9728,RECEIVED
158,9729,RECEIVED
160,9730,RECEIVED
161,9731,RECEIVED
162,9732,RECEIVED
163,9733,RECEIVED
165,9734,RECEIVED
167,9735,RECEIVED
172,9736,RECEIVED
175,9737,RECEIVED
178,9738,RECEIVED
182,9739,RECEIVED
183,9740,RECEIVED
185,9741,RECEIVED
187,9742,RECEIVED
189,9743,RECEIVED
191,9744,RECEIVED
193,9745,RECEIVED
196,9746,RECEIVED
199,9747,RECEIVED
200,9748,RECEIVED
201,9749,RECEIVED
203,9750,RECEIVED
206,9751,RECEIVED
208,9752,RECEIVED
209,9753,RECEIVED
210,9754,RECEIVED
211,9755,RECEIVED
212,9756,RECEIVED
214,9757,RECEIVED
215,9758,RECEIVED
216,9759,RECEIVED
217,9760,RECEIVED
218,9761,RECEIVED
219,9762,RECEIVED
220,9763,RECEIVED
221,9764,RECEIVED
222,9765,RECEIVED
223,9766,RECEIVED
226,9767,RECEIVED
228,9768,RECEIVED
229,9769,RECEIVED
231,9770,RECEIVED
232,9771,RECEIVED
233,9772,RECEIVED
234,9773,RECEIVED
235,9774,RECEIVED
236,9775,RECEIVED
241,9776,RECEIVED
242,9777,RECEIVED
244,9778,RECEIVED
248,9779,RECEIVED
253,9780,RECEIVED
255,9781,RECEIVED
256,9782,RECEIVED
258,9783,RECEIVED
259,9784,RECEIVED
261,9785,RECEIVED
263,9786,RECEIVED
264,9787,RECEIVED
272,9788,RECEIVED
282,9789,RECEIVED
284,9790,RECEIVED
286,9791,RECEIVED
288,9792,RECEIVED
290,9793,RECEIVED
291,9794,RECEIVED
292,9795,RECEIVED
293,9796,RECEIVED
296,9797,RECEIVED
297,9798,RECEIVED
298,9799,RECEIVED
299,9800,RECEIVED
300,9801,RECEIVED
301,9802,RECEIVED
302,9803,RECEIVED
303,9804,RECEIVED
304,9805,RECEIVED
305,9806,RECEIVED
306,9807,RECEIVED
307,9808,RECEIVED
308,9809,RECEIVED
309,9810,RECEIVED
310,9811,RECEIVED
311,9812,RECEIVED
312,9813,RECEIVED
313,9814,RECEIVED
315,9815,RECEIVED
316,9816,RECEIVED
317,9817,RECEIVED
318,9818,RECEIVED
320,9819,RECEIVED
321,9820,RECEIVED
322,9821,RECEIVED
324,9822,RECEIVED
325,9823,RECEIVED
326,9824,RECEIVED
327,9825,RECEIVED
330,9826,RECEIVED
331,9827,RECEIVED
332,9828,RECEIVED
333,9829,RECEIVED
334,9830,RECEIVED
335,9831,RECEIVED
336,9832,RECEIVED
337,9833,RECEIVED
338,9834,RECEIVED
339,9835,RECEIVED
341,9836,RECEIVED
342,9837,RECEIVED
344,9838,RECEIVED
345,9839,RECEIVED
347,9840,RECEIVED
349,9841,RECEIVED
352,9842,RECEIVED
353,9843,RECEIVED
354,9844,RECEIVED
355,9845,RECEIVED
359,9846,RECEIVED
361,9847,RECEIVED
365,9848,RECEIVED
370,9849,RECEIVED
371,9850,RECEIVED
372,9851,RECEIVED
373,9852,RECEIVED
374,9853,RECEIVED
375,9854,RECEIVED
376,9855,RECEIVED
377,9856,RECEIVED
378,9857,RECEIVED
379,9858,RECEIVED
380,9859,RECEIVED
381,9860,RECEIVED
382,9861,RECEIVED
384,9862,RECEIVED
388,9863,RECEIVED
394,9864,RECEIVED
395,9865,RECEIVED
396,9866,RECEIVED
398,9867,RECEIVED
400,9868,RECEIVED
402,9869,RECEIVED
403,9870,RECEIVED
405,9871,RECEIVED
406,9872,RECEIVED
409,9873,RECEIVED
416,9874,RECEIVED
417,9875,RECEIVED
418,9876,RECEIVED
419,9877,RECEIVED
421,9878,RECEIVED
422,9879,RECEIVED
424,9880,RECEIVED
427,9881,RECEIVED
428,9882,RECEIVED
429,9883,RECEIVED
434,9884,RECEIVED
435,9885,RECEIVED
436,9886,RECEIVED
439,9887,RECEIVED
440,9888,RECEIVED
442,9889,RECEIVED
446,9890,RECEIVED
449,9891,RECEIVED
451,9892,RECEIVED
452,9893,RECEIVED
453,9894,RECEIVED
456,9895,RECEIVED
458,9896,RECEIVED
460,9897,RECEIVED
461,9898,RECEIVED
462,9899,RECEIVED
466,9900,RECEIVED
468,9901,RECEIVED
470,9902,RECEIVED
476,9903,RECEIVED
479,9904,RECEIVED
480,9905,RECEIVED
483,9906,RECEIVED
487,9907,RECEIVED
488,9908,RECEIVED
489,9909,RECEIVED
491,9910,RECEIVED
492,9911,RECEIVED
494,9912,RECEIVED
495,9913,RECEIVED
497,9914,RECEIVED
498,9915,RECEIVED
500,9916,RECEIVED
501,9917,RECEIVED
506,9918,RECEIVED
510,9919,RECEIVED
